"filename", "language", "YAML", "Properties", "Cabal", "Haskell", "Markdown", "Shell Script", "comment", "blank", "total"
"/home/darick/NewsServer/.gitattributes", "Properties", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/home/darick/NewsServer/ChangeLog.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 2, 4
"/home/darick/NewsServer/NewsServer.cabal", "Cabal", 0, 0, 215, 0, 0, 0, 5, 7, 227
"/home/darick/NewsServer/NewsServer/.gitattributes", "Properties", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/home/darick/NewsServer/NewsServer/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 2, 3
"/home/darick/NewsServer/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1, 2
"/home/darick/NewsServer/Scripts/create/createAdminAndGetToken.sh", "Shell Script", 0, 0, 0, 0, 0, 5, 1, 2, 8
"/home/darick/NewsServer/Scripts/create/createAuthorAndGetToken.sh", "Shell Script", 0, 0, 0, 0, 0, 20, 1, 4, 25
"/home/darick/NewsServer/Scripts/create/createCategory.sh", "Shell Script", 0, 0, 0, 0, 0, 18, 1, 4, 23
"/home/darick/NewsServer/Scripts/create/createDraft.sh", "Shell Script", 0, 0, 0, 0, 0, 13, 1, 3, 17
"/home/darick/NewsServer/Scripts/create/createTag.sh", "Shell Script", 0, 0, 0, 0, 0, 13, 1, 3, 17
"/home/darick/NewsServer/Scripts/create/createUserAndGetToken.sh", "Shell Script", 0, 0, 0, 0, 0, 14, 1, 5, 20
"/home/darick/NewsServer/Scripts/create/postComment.sh", "Shell Script", 0, 0, 0, 0, 0, 9, 1, 4, 14
"/home/darick/NewsServer/Scripts/create/postDraft.sh", "Shell Script", 0, 0, 0, 0, 0, 11, 1, 4, 16
"/home/darick/NewsServer/Scripts/delete/deleteAuthor.sh", "Shell Script", 0, 0, 0, 0, 0, 9, 1, 3, 13
"/home/darick/NewsServer/Scripts/delete/deleteCategory.sh", "Shell Script", 0, 0, 0, 0, 0, 9, 1, 3, 13
"/home/darick/NewsServer/Scripts/delete/deleteComment.sh", "Shell Script", 0, 0, 0, 0, 0, 9, 1, 5, 15
"/home/darick/NewsServer/Scripts/delete/deleteDraft.sh", "Shell Script", 0, 0, 0, 0, 0, 13, 1, 3, 17
"/home/darick/NewsServer/Scripts/delete/deleteTag.sh", "Shell Script", 0, 0, 0, 0, 0, 9, 1, 3, 13
"/home/darick/NewsServer/Scripts/delete/deleteUser.sh", "Shell Script", 0, 0, 0, 0, 0, 9, 1, 3, 13
"/home/darick/NewsServer/Setup.hs", "Haskell", 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/darick/NewsServer/app/Main.hs", "Haskell", 0, 0, 0, 72, 0, 0, 19, 6, 97
"/home/darick/NewsServer/package.yaml", "YAML", 62, 0, 0, 0, 0, 0, 6, 7, 75
"/home/darick/NewsServer/src/Api/ErrorException.hs", "Haskell", 0, 0, 0, 16, 0, 0, 0, 6, 22
"/home/darick/NewsServer/src/Api/Helpers/Checks.hs", "Haskell", 0, 0, 0, 104, 0, 0, 3, 14, 121
"/home/darick/NewsServer/src/Api/Helpers/Getters.hs", "Haskell", 0, 0, 0, 87, 0, 0, 1, 12, 100
"/home/darick/NewsServer/src/Api/Methods/Create.hs", "Haskell", 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/darick/NewsServer/src/Api/Methods/Create/Account.hs", "Haskell", 0, 0, 0, 39, 0, 0, 3, 4, 46
"/home/darick/NewsServer/src/Api/Methods/Create/Author.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 4, 37
"/home/darick/NewsServer/src/Api/Methods/Create/Category.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 4, 37
"/home/darick/NewsServer/src/Api/Methods/Create/Draft.hs", "Haskell", 0, 0, 0, 38, 0, 0, 2, 4, 44
"/home/darick/NewsServer/src/Api/Methods/Create/Tag.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 4, 37
"/home/darick/NewsServer/src/Api/Methods/Delete.hs", "Haskell", 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/darick/NewsServer/src/Api/Methods/Delete/Author.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 4, 37
"/home/darick/NewsServer/src/Api/Methods/Delete/Category.hs", "Haskell", 0, 0, 0, 29, 0, 0, 2, 5, 36
"/home/darick/NewsServer/src/Api/Methods/Delete/Comment.hs", "Haskell", 0, 0, 0, 37, 0, 0, 2, 4, 43
"/home/darick/NewsServer/src/Api/Methods/Delete/Draft.hs", "Haskell", 0, 0, 0, 31, 0, 0, 2, 4, 37
